station_name,line_identifier,connections,travel_time,distance_km
Cockfosters,P0,"['P1']",0,0
Oakwood,P1,"['P0', 'P2']",0,0
Southgate,P2,"['P1', 'P3']",0,0
Arnos Grove,P3,"['P2', 'P4']",0,0
Bounds Green,P4,"['P3', 'P5']",0,0
Wood Green,P5,"['P4', 'P6']",0,0
Turnpike Lane,P6,"['P5', 'P7']",0,0
Manor House,P7,"['P6', 'P8']",0,0
Finsbury Park,P8,"['P7', 'P9']",0,0
Arsenal,P9,"['P8', 'P10']",0,0
Holloway Road,P10,"['P9', 'P11']",0,0
Caledonian Road,P11,"['P10', 'P12']",0,0
King's Cross St Pancras,P12,"['P11', 'P13']",0,0
Russell Square,P13,"['P12', 'P14']",0,0
Holborn,P14,"['P13', 'P15']",0,0
Covent Garden,P15,"['P14', 'P16']",0,0
Leicester Square,P16,"['P15', 'P17']",0,0
Piccadilly Circus,P17,"['P16', 'P18']",0,0
Green Park,P18,"['P17', 'P19']",0,0
Hyde Park Corner,P19,"['P18', 'P20']",0,0
Knightsbridge,P20,"['P19', 'P21']",0,0
South Kensington,P21,"['P20', 'P22']",0,0
Gloucester Road,P22,"['P21', 'P23']",0,0
Earl's Court,P23,"['P22', 'P24']",0,0
Barons Court,P24,"['P23', 'P25']",0,0
Hammersmith,P25,"['P24', 'P26']",0,0
Turnham Green,P26,"['P25', 'P27']",0,0
Acton Town,P27,"['P26', 'P28', 'P39']",0,0
South Ealing,P28,"['P27', 'P29']",0,0
Northfields,P29,"['P28', 'P30']",0,0
Boston Manor,P30,"['P29', 'P31']",0,0
Osterley,P31,"['P30', 'P32']",0,0
Hounslow East,P32,"['P31', 'P33']",0,0
Hounslow Central,P33,"['P32', 'P34']",0,0
Hounslow West,P34,"['P33', 'P35']",0,0
Hatton Cross,P35,"['P34', 'P36']",0,0
Heathrow Terminal 4,P36,"['P35', 'P37']",0,0
"Heathrow Terminals 1, 2 & 3",P37,"['P36', 'P38']",0,0
Heathrow Terminal 5,P38,"['P37', 'P39']",0,0
Ealing Common,P39,"['P38', 'P40']",0,0
North Ealing,P40,"['P39', 'P41']",0,0
Park Royal,P41,"['P40', 'P42']",0,0
Alperton,P42,"['P41', 'P43']",0,0
Sudbury Town,P43,"['P42', 'P44']",0,0
Sudbury Hill,P44,"['P43', 'P45']",0,0
South Harrow,P45,"['P44', 'P46']",0,0
Rayners Lane,P46,"['P45', 'P47']",0,0
Eastcote,P47,"['P46', 'P48']",0,0
Ruislip Manor,P48,"['P47', 'P49']",0,0
Ruislip,P49,"['P48', 'P50']",0,0
Ickenham,P50,"['P49', 'P51']",0,0
Hillingdon,P51,"['P50', 'P52']",0,0
Uxbridge,P52,"['P51']",0,0